,hash,0,1,2,3,4,5,6,7,8
0,cbe32a2a1b,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,caa93590ad,0.2,0.2,0.9,0.7,0.0,0.0,0.0,0.0,0.0
2,5bbe47f96d,0.8,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0
3,3f187965b9,0.0,0.0,0.8,1.0,0.5,0.0,0.0,0.0,0.0
4,bf1e56e185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7ca01c996f,0.5,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0
6,2a5a018502,0.9,1.0,1.0,1.0,0.8,0.0,0.5,0.0,0.7
7,99fe117fcb,0.8,0.0,1.0,0.9,1.0,1.0,0.5,0.0,0.0
8,6875ba52f0,0.0,0.9,0.0,0.5,0.5,0.0,0.0,0.0,0.0
9,1eea619f12,0.8,1.0,0.0,0.2,0.5,0.2,0.0,0.0,0.2
10,f9f854aa44,1.0,0.9,0.0,0.5,0.5,0.0,0.0,0.0,0.0
11,6346ddfdb5,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.7
12,b5c2ae4623,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6
13,15360bcc4c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,a2d96fe1d4,0.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15,7174532c74,0.2,0.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16,426dfedb85,0.2,0.2,0.9,0.7,0.0,0.0,0.0,0.0,0.0
17,bae2523189,0.8,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.6
18,5a0a06b184,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19,789d9f4f97,0.0,1.0,0.8,1.0,0.0,0.0,0.5,0.0,0.0
20,6588f97aea,0.0,0.6,1.0,1.0,1.0,0.5,0.0,0.0,0.7
21,b7235befa9,0.8,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.7
22,ca49cc7265,0.8,0.9,0.0,0.0,0.5,0.5,0.0,1.0,0.6
23,6134e7ea6f,0.8,1.0,1.0,1.0,0.5,0.2,0.5,0.0,0.7
24,8f67295cb3,0.8,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.7
25,cb9dfc5d66,0.8,1.0,1.0,1.0,0.5,0.2,0.5,0.9,0.7
26,d7955cb7bc,0.0,0.7,1.0,1.0,0.0,0.5,0.0,0.0,0.0
27,237fe82b6f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,b8132ed8db,0.8,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0
29,80a4f796b4,0.5,0.2,1.0,1.0,0.5,0.2,0.5,0.0,0.2
30,403978747a,0.8,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.7
31,33979cb9cb,0.8,1.0,0.7,1.0,0.5,0.2,0.0,0.0,0.7
32,e342391d26,0.0,0.8,0.0,0.7,0.5,0.0,0.0,0.0,0.0
33,c11c124eb9,0.0,1.0,1.0,0.8,0.5,0.5,0.0,0.0,0.7
34,8b4c1af94b,0.8,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.7
35,e1388f2aae,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ee55242421,0.8,1.0,0.0,0.7,0.0,1.0,0.0,0.9,0.0
37,d6c40a7f4b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
